Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
69,West Virginia,Big 12,,6,6,3.42,-1.80,1.63,45.13,12.40,9.05,6.92,5.99,2.35,7.24,4.44
70,Washington State,Ind,,8,4,6.18,-4.71,1.47,46.92,15.47,10.50,5.48,5.40,4.26,7.63,4.83
71,North Carolina State,ACC,,6,6,5.33,-4.23,1.10,46.92,14.69,9.68,5.80,5.79,3.55,7.64,4.65
72,South Alabama,Sun Belt (West),,6,6,1.76,-0.72,1.04,46.53,12.47,9.11,6.12,6.29,3.10,7.61,4.58
73,Northern Illinois,MAC,,7,5,-4.27,5.07,0.81,35.22,5.76,7.48,4.73,5.60,2.57,6.41,3.53
74,Old Dominion,Sun Belt (East),,5,7,2.00,-1.38,0.62,43.02,11.81,8.50,6.12,6.28,3.11,7.24,4.42
75,Virginia,ACC,,5,7,-0.56,1.00,0.44,40.46,7.83,8.80,6.18,5.28,2.45,6.92,4.26
76,Toledo,MAC,,7,5,-1.31,0.78,-0.54,38.80,11.20,8.54,5.38,4.23,2.87,6.44,3.99
77,Connecticut,Ind,,8,4,-1.18,0.37,-0.81,42.80,12.19,8.19,5.35,5.87,3.16,6.85,4.15
78,Western Kentucky,CUSA,,8,4,-2.41,1.52,-0.90,37.27,12.77,9.43,6.46,4.36,4.32,6.97,5.05
79,Michigan State,Big Ten,,5,7,-3.61,2.70,-0.91,37.97,7.46,9.71,5.15,5.07,2.13,7.19,3.60
80,Maryland,Big Ten,,4,8,1.34,-2.37,-1.03,43.98,12.12,9.08,5.40,5.25,2.39,7.30,3.87
81,Wake Forest,ACC,,4,8,1.65,-3.58,-1.93,42.89,13.81,8.97,5.26,4.94,3.26,6.82,4.30
82,Colorado State,MWC,,8,4,-3.20,1.25,-1.95,36.23,12.21,8.86,5.59,5.50,3.62,6.99,4.59
83,Houston,Big 12,,4,8,-8.56,6.41,-2.15,33.84,4.21,8.92,4.75,5.36,2.21,6.78,3.33
84,Northwestern,Big Ten,,4,8,-3.32,1.16,-2.16,37.66,9.35,8.30,5.03,4.97,2.64,6.63,3.85
85,South Florida,American,,6,6,0.45,-2.69,-2.24,43.42,14.09,8.31,6.19,5.91,2.73,6.90,4.48
86,Buffalo,MAC,,8,4,-0.08,-2.46,-2.53,39.09,17.72,7.89,6.55,4.87,3.42,6.18,4.95
87,Sam Houston,CUSA,,9,3,-4.72,2.12,-2.60,33.69,10.19,7.62,4.62,5.10,3.25,6.19,3.86
88,Fresno State,MWC,,6,6,-3.09,0.38,-2.71,38.47,12.85,8.85,4.40,4.14,2.89,6.52,3.74
89,UTSA,American,,6,6,3.43,-6.25,-2.82,43.79,19.00,8.80,7.13,5.22,2.00,6.88,4.61
90,East Carolina,American,,7,5,0.93,-3.85,-2.92,41.71,16.10,9.19,5.47,5.23,2.73,7.04,4.16
91,Jacksonville State,CUSA,,8,4,2.55,-5.63,-3.08,45.57,18.78,9.18,6.55,6.11,3.83,7.28,4.87
92,Mississippi State,SEC,,2,10,3.01,-6.17,-3.15,47.85,13.25,10.12,5.98,5.84,3.52,7.83,4.45
93,Stanford,ACC,,3,9,-1.07,-2.07,-3.15,40.86,13.07,8.41,6.38,5.10,2.89,6.55,4.57
94,San Jose State,MWC,,7,5,0.71,-3.99,-3.28,39.48,15.31,9.27,5.59,4.13,2.78,7.22,4.19
95,North Texas,American,,6,6,5.17,-8.70,-3.53,44.93,20.96,8.72,6.41,6.55,3.62,7.62,5.03
96,Coastal Carolina,Sun Belt (East),,6,6,1.57,-5.34,-3.76,41.83,17.56,8.62,6.32,5.62,3.55,6.92,4.71
97,Florida State,ACC,,2,10,-7.69,3.92,-3.77,35.12,6.42,8.29,5.23,4.51,2.98,6.26,3.86
98,Appalachian State,Sun Belt (East),,5,6,-0.19,-3.66,-3.84,39.84,17.36,9.17,7.04,5.25,4.00,7.18,5.21
99,Liberty,CUSA,,8,3,0.08,-4.32,-4.24,37.49,16.03,8.18,6.36,5.95,3.68,6.90,4.78
100,Oregon State,Ind,,5,7,-1.52,-2.88,-4.39,37.79,16.37,8.28,6.19,5.76,4.28,6.80,5.17
101,Western Michigan,MAC,,6,6,2.06,-6.51,-4.45,41.05,20.43,8.81,7.20,5.83,4.14,7.10,5.34
102,Arizona,Big 12,,4,8,-3.83,-0.69,-4.52,37.68,14.01,8.81,6.13,5.34,3.47,7.22,4.62
103,Oklahoma State,Big 12,,3,9,0.74,-5.34,-4.60,42.87,17.04,8.80,6.43,5.29,4.21,7.18,5.15
104,Louisiana-Monroe,Sun Belt (West),,5,7,-4.52,-1.23,-5.74,34.96,13.77,8.24,5.12,5.51,3.71,6.51,4.25
105,Arkansas State,Sun Belt (West),,7,5,-1.69,-4.77,-6.46,36.74,19.35,8.01,6.98,5.05,4.80,6.42,5.75
106,Troy,Sun Belt (West),,4,8,-2.10,-4.78,-6.88,38.24,15.00,8.97,6.67,4.93,3.14,6.68,4.77
107,Purdue,Big Ten,,1,11,-5.99,-1.09,-7.08,37.28,20.91,9.28,6.84,5.74,3.54,7.40,4.91
108,Hawaii,MWC,,5,7,-6.86,-0.24,-7.10,32.28,13.22,8.11,5.47,4.22,3.55,6.35,4.47
109,Nevada,MWC,,3,10,-2.32,-4.90,-7.22,37.74,15.08,9.18,5.77,5.82,4.24,7.23,4.87
110,Rice,American,,4,8,-6.03,-1.62,-7.64,36.38,11.66,7.70,4.56,5.81,2.82,6.77,3.81
111,Akron,MAC,,4,8,-4.04,-3.73,-7.77,35.11,19.13,8.11,6.73,4.58,3.76,6.53,5.03
112,Air Force,MWC,,5,7,-8.85,0.98,-7.87,30.82,11.58,9.23,6.03,4.68,3.47,5.61,4.70
113,Charlotte,American,,5,7,-1.66,-6.40,-8.06,37.70,18.62,9.49,5.95,4.91,3.82,6.94,4.86
114,Utah State,MWC,,4,8,2.89,-11.20,-8.30,44.31,25.03,8.63,6.40,6.42,4.28,7.45,5.25
115,Eastern Michigan,MAC,,5,7,-2.50,-6.50,-9.00,35.79,17.77,8.00,7.38,4.23,3.74,6.07,5.24
116,UAB,American,,3,9,-2.67,-6.41,-9.08,39.64,20.01,8.59,4.93,5.16,3.63,6.83,4.41
117,Georgia State,Sun Belt (East),,3,9,-2.06,-7.46,-9.52,37.64,18.65,8.11,6.41,5.28,4.04,6.83,5.01
118,Louisiana Tech,CUSA,,5,7,-9.42,-0.41,-9.83,29.55,11.62,7.97,4.97,3.42,2.87,5.57,3.79
119,Wyoming,MWC,,3,9,-8.90,-1.66,-10.56,30.26,13.98,7.95,5.93,4.43,4.18,5.89,5.04
120,Central Michigan,MAC,,4,8,-5.92,-4.90,-10.82,35.12,19.39,7.90,5.86,5.33,3.95,6.41,4.70
121,Ball State,MAC,,3,9,0.54,-11.55,-11.01,38.77,27.59,8.16,7.62,4.28,4.23,6.36,5.90
122,New Mexico,MWC,,5,7,6.12,-17.45,-11.33,44.51,28.62,8.49,7.12,7.37,4.74,7.87,5.88
123,Florida International,CUSA,,4,8,-4.40,-7.40,-11.79,34.95,17.39,9.49,5.11,4.23,4.08,6.69,4.54
124,Florida Atlantic,American,,3,9,-5.89,-6.00,-11.89,35.64,18.57,8.40,5.80,6.01,3.98,6.93,4.96
125,Temple,American,,3,9,-8.10,-4.66,-12.75,31.63,19.16,7.67,4.92,4.09,3.95,5.82,4.64
126,San Diego State,MWC,,3,9,-7.44,-5.62,-13.06,31.93,16.97,7.87,6.06,4.32,3.70,5.93,4.77
127,Massachusetts,Ind,,2,10,-3.30,-9.84,-13.14,36.63,23.03,8.13,6.71,5.14,4.36,6.40,5.16
128,UTEP,CUSA,,3,9,-7.52,-9.41,-16.93,31.63,24.28,8.00,6.58,4.03,3.86,5.90,4.92
129,Tulsa,American,,3,9,-4.24,-12.99,-17.23,34.74,31.13,7.85,8.22,4.88,3.94,6.21,6.07
130,New Mexico State,CUSA,,3,9,-7.66,-9.96,-17.62,31.43,26.44,6.65,6.61,4.97,4.48,5.74,5.40
131,Southern Mississippi,Sun Belt (West),,1,11,-11.92,-6.89,-18.81,28.35,23.09,8.00,6.66,4.05,4.63,5.80,5.52
132,Kennesaw State,CUSA,,2,10,-12.19,-7.10,-19.29,26.13,21.74,6.70,6.44,3.77,4.22,5.01,5.08
133,Middle Tennessee State,CUSA,,3,9,-9.96,-9.52,-19.48,29.40,24.01,8.69,7.59,4.02,4.61,6.64,5.82
134,Kent State,MAC,,0,12,-11.33,-9.71,-21.05,27.96,30.52,7.73,7.27,3.54,4.95,5.36,5.78
