team_id,school,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
79,Houston Chrisian,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Houston,0,9.7734375,1,6,0,0,-8.56,6.41,-2.15,33.84,4.21,8.92,4.75,5.36,2.21,6.78,3.33
81,Howard,0,3.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Idaho State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Idaho,0,12.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Illinois,0,35.451904296875,9,3,0,0,5.73,3.48,9.21,47.38,6.77,9.87,4.58,5.87,3.08,7.63,3.89
85,Illinoi State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Incarnate Word,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Indiana,0,44.703369140625,11,1,0,0,7.37,8.78,16.15,60.38,1.49,11.85,3.72,6.05,1.54,8.42,2.66
88,Indiana State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Iowa,0,20.671875,4,2,0,0,4.35,6.97,11.32,47.91,2.39,8.86,4.11,6.88,2.85,7.58,3.47
90,Iowa State,0,30.431640625,9,0,0,0,5.92,6.55,12.47,47.72,2.97,9.45,4.11,5.64,3.28,7.42,3.7
91,Jackson  State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Jacksonville State,0,36.404296875,6,3,0,0,2.55,-5.63,-3.08,45.57,18.78,9.18,6.55,6.11,3.83,7.28,4.87
93,James Madison,0,36.734375,7,0,0,0,0.44,2.39,2.82,43.09,8.91,8.24,4.93,5.33,2.74,6.65,3.8
94,Kansas,0,23.9140625,2,6,0,0,4.97,1.73,6.71,48.18,7.31,10.42,5.75,7.15,3.17,8.45,4.38
95,Kansas State,0,26.75,6,2,0,0,5.87,4.68,10.55,47.52,5.16,9.12,4.78,7.17,2.17,8.06,3.5
96,Kennesaw State,0,7.96875,0,6,0,0,-12.19,-7.1,-19.29,26.13,21.74,6.7,6.44,3.77,4.22,5.01,5.08
97,Kent State,0,9.78564453125,0,11,0,0,-11.33,-9.71,-21.05,27.96,30.52,7.73,7.27,3.54,4.95,5.36,5.78
98,Kentucky,0,14.380859375,1,8,0,0,-2.04,4.93,2.89,43.37,1.46,9.35,5.35,5.94,2.92,7.34,3.85
99,LSU,1,0.0,0,0,0,0,8.03,4.96,12.98,51.76,2.28,9.68,4.82,6.03,2.86,8.11,3.82
100,Lafayette,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Lamar,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Lehigh,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Liberty,0,26.5625,5,2,0,0,0.08,-4.32,-4.24,37.49,16.03,8.18,6.36,5.95,3.68,6.9,4.78
104,Lindenwood,0,1.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Long Island University,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Louisiana,0,41.5625,9,0,0,0,5.88,-0.56,5.32,46.04,11.04,10.15,4.76,5.74,3.76,7.77,4.35
107,Louisiana Tech,0,24.0,2,3,0,0,-9.42,-0.41,-9.83,29.55,11.62,7.97,4.97,3.42,2.87,5.57,3.79
108,Louisville,0,37.234375,6,2,0,0,9.2,5.16,14.36,55.12,2.59,9.97,4.9,7.16,2.11,8.53,3.49
109,Maine,0,7.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Marist,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Marshall,0,37.32421875,7,2,0,0,3.56,0.07,3.63,44.96,11.51,8.32,5.49,6.01,3.47,7.03,4.31
112,Maryland,0,11.1875,0,8,0,0,1.34,-2.37,-1.03,43.98,12.12,9.08,5.4,5.25,2.39,7.3,3.87
113,Massachusetts,0,32.3828125,0,10,0,0,-3.3,-9.84,-13.14,36.63,23.03,8.13,6.71,5.14,4.36,6.4,5.16
114,McNeese,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Memphis,0,32.5390625,9,0,0,0,4.43,0.36,4.79,46.23,10.2,8.4,5.59,6.01,2.77,7.16,4.5
116,Mercer,0,3.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Merrimack,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Miami (OH),0,27.236328125,7,3,0,0,-3.38,6.25,2.87,37.44,5.36,9.3,4.47,5.46,2.79,7.39,3.59
119,Miami (FL),0,44.5947265625,10,0,0,0,13.67,2.46,16.13,60.94,7.32,11.26,4.91,6.84,2.69,9.14,3.78
120,Michigan State,0,16.509765625,3,7,0,0,-3.61,2.7,-0.91,37.97,7.46,9.71,5.15,5.07,2.13,7.19,3.6
121,Michigan,0,33.18359375,4,5,0,0,1.94,7.25,9.19,44.8,0.7,8.34,3.96,6.25,1.77,7.1,2.99
122,Middle Tennessee State,0,20.7109375,0,7,0,0,-9.96,-9.52,-19.48,29.4,24.01,8.69,7.59,4.02,4.61,6.64,5.82
123,Minnesota,0,25.828125,6,1,0,0,1.09,8.28,9.37,45.04,0.17,9.17,4.08,5.02,2.02,7.04,3.04
