Rk,School,AP Rank,W,L,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
103,Syracuse,,6,7,-7.34,4.40,-2.93,37.10,10.20,8.50,5.55,5.29,2.55,6.47,4.08
104,Temple,,3,9,-7.69,-6.71,-14.40,31.95,22.03,7.69,7.73,4.37,3.65,6.31,5.25
105,Tennessee,17,9,4,3.89,6.81,10.69,49.81,3.79,9.77,4.97,6.93,2.18,8.15,3.55
106,Texas,3,12,2,9.43,10.89,20.32,54.23,-1.29,10.51,4.94,6.21,1.64,8.18,3.57
107,Texas A&M,,7,6,4.48,4.49,8.98,49.74,4.43,9.85,5.35,5.20,1.87,7.40,3.57
108,TCU,,5,7,5.78,0.62,6.40,48.32,8.90,9.27,5.78,5.79,2.98,7.60,4.23
109,Texas State,,8,5,8.00,-8.35,-0.35,47.45,21.66,9.09,6.58,5.55,3.12,7.13,4.70
110,Texas Tech,,7,6,2.90,4.04,6.94,44.39,7.11,7.98,4.69,5.61,2.90,6.71,3.80
111,Toledo,,11,3,1.91,0.29,2.20,43.03,11.83,9.34,5.61,6.12,3.05,7.41,4.29
112,Troy,,11,3,1.77,8.52,10.29,41.50,3.07,9.38,5.16,5.42,1.91,7.27,3.57
113,Tulane,,11,3,-1.07,5.06,3.99,37.79,5.46,9.27,5.41,5.06,2.46,6.80,4.00
114,Tulsa,,4,8,-4.15,-4.08,-8.23,36.65,20.57,8.69,7.48,5.09,3.80,6.52,5.50
115,UAB,,4,8,1.65,-11.40,-9.75,41.20,23.08,9.17,6.05,5.53,4.15,7.32,5.01
116,UCF,,6,7,1.57,0.77,2.34,45.52,8.54,10.50,5.21,6.47,3.51,8.10,4.29
117,UCLA,,8,5,-2.38,8.76,6.37,41.12,1.87,8.95,4.41,5.99,1.65,7.28,3.08
118,USC,,8,5,16.66,-7.07,9.59,61.00,16.01,11.66,5.62,6.29,3.48,9.18,4.35
119,Utah,,8,5,-3.28,10.25,6.97,39.81,-0.15,8.43,4.62,5.47,1.97,6.62,3.36
120,Utah State,,6,7,6.02,-11.99,-5.97,46.24,24.56,8.88,5.50,5.89,4.14,7.19,4.89
121,UTEP,,3,9,-7.53,-3.56,-11.10,31.32,15.96,9.29,5.46,4.60,4.73,6.59,4.94
122,UTSA,,9,4,2.68,0.74,3.42,43.31,11.09,8.38,5.48,5.33,2.70,6.74,4.09
123,Vanderbilt,,2,10,-1.83,-7.38,-9.20,40.36,18.31,8.55,5.61,4.64,3.91,6.65,4.85
124,Virginia,,3,9,0.22,-4.01,-3.78,40.84,15.45,9.47,5.23,4.57,3.42,6.73,4.31
125,Virginia Tech,,7,6,4.05,1.85,5.90,46.77,9.79,9.19,4.82,6.48,3.07,7.56,3.94
126,Wake Forest,,4,8,-2.48,-0.84,-3.32,37.51,11.05,9.55,6.34,4.69,2.83,6.65,4.47
127,Washington,2,14,1,13.35,4.54,17.89,55.44,3.83,11.00,4.14,5.85,3.24,8.75,3.76
128,Washington State,,5,7,4.87,-0.64,4.23,48.48,10.90,9.94,5.24,4.28,3.16,7.56,3.99
129,West Virginia,,9,4,5.49,1.54,7.03,47.41,8.75,9.59,5.76,6.46,3.02,7.64,4.34
130,Western Kentucky,,8,5,3.86,-3.77,0.09,43.11,17.79,8.72,5.35,4.74,4.16,7.00,4.73
131,Western Michigan,,4,8,-1.19,-10.27,-11.46,37.84,24.21,7.90,7.39,5.06,3.75,6.27,5.59
132,Wisconsin,,7,6,-0.34,6.16,5.82,40.64,4.15,8.10,4.95,5.96,2.68,6.96,3.75
133,Wyoming,,9,4,-1.87,3.05,1.18,37.81,8.83,8.39,4.76,5.33,3.20,6.50,4.09
