game_id,Team,Opponent,Result,HomeTeamAdvantage,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
1571,172,158,0,1,0,23.0,2,5,0.2,0.5,3.7,-4.08,-0.38,44.48,15.31,8.84,6.32,6.04,2.75,7.26,4.48
1572,163,247,0,0,1,48.5,5,1,1.0,0.6666666666666666,8.1,11.85,19.94,59.15,-1.82,11.35,4.08,7.03,2.6,9.29,3.32
1573,247,163,1,1,1,44.333333333333336,6,0,1.0,1.0,13.35,4.54,17.89,55.44,3.83,11.0,4.14,5.85,3.24,8.75,3.76
1574,164,228,1,1,0,38.142857142857146,6,1,1.0,0.6666666666666666,5.14,4.28,9.42,49.48,4.52,10.51,5.12,6.16,2.38,8.13,3.67
1575,228,164,0,0,0,29.5,4,2,1.0,0.3333333333333333,-2.38,8.76,6.37,41.12,1.87,8.95,4.41,5.99,1.65,7.28,3.08
1584,211,212,1,1,1,33.5,5,1,1.0,0.5,3.89,6.81,10.69,49.81,3.79,9.77,4.97,6.93,2.18,8.15,3.55
1585,212,211,0,0,0,32.285714285714285,4,3,0.75,0.3333333333333333,4.48,4.49,8.98,49.74,4.43,9.85,5.35,5.2,1.87,7.4,3.57
1586,216,230,1,1,0,38.285714285714285,5,2,1.0,0.5,8.0,-8.35,-0.35,47.45,21.66,9.09,6.58,5.55,3.12,7.13,4.7
1587,230,216,0,0,0,18.5,2,4,0.5,0.0,-8.99,-4.31,-13.3,29.76,20.02,7.24,6.66,5.36,3.04,6.19,4.75
1590,224,235,0,0,0,30.142857142857142,2,5,0.6666666666666666,0.0,1.65,-11.4,-9.75,41.2,23.08,9.17,6.05,5.53,4.15,7.32,5.01
1591,235,224,1,1,0,27.83333333333333,3,3,0.6666666666666666,0.3333333333333333,2.68,0.74,3.42,43.31,11.09,8.38,5.48,5.33,2.7,6.74,4.09
1594,244,246,1,1,0,24.428571428571427,3,4,0.75,0.0,4.05,1.85,5.9,46.77,9.79,9.19,4.82,6.48,3.07,7.56,3.94
1595,246,244,0,0,0,23.5,3,3,0.6666666666666666,0.3333333333333333,-2.48,-0.84,-3.32,37.51,11.05,9.55,6.34,4.69,2.83,6.65,4.47
1596,92,253,1,1,0,27.0,6,2,0.8,0.6666666666666666,-0.6,1.28,0.68,40.37,11.15,7.72,5.8,5.26,2.24,6.2,3.8
1597,253,92,0,0,1,30.0,4,3,1.0,0.25,3.86,-3.77,0.09,43.11,17.79,8.72,5.35,4.74,4.16,7.0,4.73
1598,103,122,1,1,0,36.285714285714285,7,0,1.0,1.0,9.23,-0.05,9.18,49.89,13.51,11.02,5.73,6.75,3.28,8.2,4.65
1599,122,103,0,0,0,23.75,2,6,0.5,0.0,-3.45,-2.15,-5.6,36.75,15.97,8.91,5.18,4.59,3.37,6.81,4.33
1600,187,196,1,1,1,35.42857142857143,4,3,0.6666666666666666,0.5,-1.2,2.77,1.57,43.89,9.88,9.04,6.27,5.89,2.27,7.33,4.06
1601,196,187,0,0,1,20.714285714285715,1,6,0.25,0.0,-2.26,-6.3,-8.56,36.65,22.7,7.78,7.57,5.37,3.88,6.38,5.54
1602,63,182,1,0,0,21.375,4,4,0.5,0.5,-8.31,-6.99,-15.3,29.98,20.93,8.52,6.27,3.31,3.94,5.89,4.97
1603,182,63,0,1,0,13.428571428571429,0,7,0.0,0.0,-7.14,-3.02,-10.17,31.05,15.17,7.42,5.93,3.55,3.7,5.58,4.84
1604,140,234,1,0,0,29.75,5,3,0.75,0.5,-1.87,0.64,-1.23,37.0,11.7,9.45,6.44,6.2,3.77,7.6,5.09
1605,234,140,0,1,0,16.375,2,6,0.25,0.25,-7.53,-3.56,-11.1,31.32,15.96,9.29,5.46,4.6,4.73,6.59,4.94
1606,93,111,1,0,0,32.42857142857143,7,0,1.0,1.0,3.99,4.54,8.53,45.94,7.12,10.0,5.51,5.01,1.51,7.37,3.83
